captured_at_utc,date_utc,time_utc,rank,player,points
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,1,airMJ23,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,2,GlucksRitter,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,3,Evgeny Nazarev,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,4,El Wisty,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,5,AABBCF,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,6,Nmrckk11,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,7,Franz Ferdinand,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,8,EVHunter07,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,9,Maximilian9,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,10,NoChipsNoCry,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,11,Hikitsuyo,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,12,HyperMonk,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,13,janthebeast,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,14,Joorje,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,15,MexicanJ0ker,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,16,T-Skux,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,17,brix,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,18,Ditto1031,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,19,IWINFLOP,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,20,JokerJP,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,21,Jose Da Silva,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,22,onRetro77,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,23,xStanley0675x,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,24,jerry_tea,0
2026-08-07T11:44:12+00:00,2026-08-07,11:44:12,25,GagoMS,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,1,IQ200_Tilted,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,2,b0g102,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,3,Gagajos,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,4,JoeTheNomad,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,5,ElCangrejoRojo,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,6,Tibor Szenasi,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,7,wenklotz,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,8,Elite5600,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,9,Panzer Soldat,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,10,El PlatoVolador,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,11,Harrisonn Fold,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,12,JaYTaIZ,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,13,Klimenzon,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,14,GeurosPRO,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,15,nier2b9s,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,16,Shimi33,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,17,MaiAndres,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,18,Big St0ne,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,19,nofold2010,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,20,NoMercyPot,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,21,Man1nBlack,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,22,SpinatiC,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,23,Clincha21093,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,24,kid7895555,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,25,FishHoldem,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,26,Mr_Smooth,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,27,Lawrence_a72727,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,28,Wilsonk,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,29,guai shou,0
2026-08-07T12:17:33+00:00,2026-08-07,12:17:33,30,CEOofPokerr,0
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,1,IQ200_Tilted,156200.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,2,b0g102,147400.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,3,Gagajos,131600.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,4,JoeTheNomad,110200.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,5,ElCangrejoRojo,97400.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,6,Tibor Szenasi,94600.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,7,wenklotz,66800.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,8,Elite5600,62800.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,9,Panzer Soldat,51800.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,10,El PlatoVolador,25800.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,11,Harrisonn Fold,25600.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,12,JaYTaIZ,22400.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,13,Klimenzon,20400.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,14,GeurosPRO,13800.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,15,nier2b9s,12800.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,16,Shimi33,11000.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,17,MaiAndres,10600.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,18,Big St0ne,10200.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,19,SpinatiC,10200.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,20,nofold2010,9400.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,21,NoMercyPot,8800.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,22,Man1nBlack,7400.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,23,Wilsonk,7200.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,24,Clincha21093,7000.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,25,kid7895555,6800.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,26,FishHoldem,6800.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,27,Mr_Smooth,6600.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,28,Lawrence_a72727,6200.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,29,Br0kat,6000.00
2026-08-07T12:24:53+00:00,2026-08-07,12:24:53,30,guai shou,5800.00
2026-08-07T12:53:01+00:00,2026-08-07,12:53:01,1,IQ200_Tilted,168000.00
2026-08-07T12:53:01+00:00,2026-08-07,12:53:01,2,b0g102,149200.00
